Fecha,EquipoLocal,EquipoVisitante,Prob_Victoria_Local,Prob_Empate,Prob_Victoria_Visitante,golesLocalFinal,golesVisitanteFinal,golesLocalDescanso,golesVisitanteDescanso,golesLocalReal,golesVisitanteReal,Ganador
2020-09-12,Eibar,Celta,43,24,32,1,1,1,0,0.0,0.0,D
2020-09-12,Granada,Ath Bilbao,43,24,32,1,1,1,0,2.0,0.0,H
2020-09-12,Cadiz,Osasuna,43,24,32,1,1,1,0,0.0,2.0,A
2020-09-13,Alaves,Betis,43,24,32,1,1,1,0,0.0,1.0,A
2020-09-13,Valladolid,Sociedad,43,24,32,1,1,1,0,1.0,1.0,D
2020-09-13,Villarreal,Huesca,43,24,32,1,1,1,0,1.0,1.0,D
2020-09-13,Valencia,Levante,43,24,32,1,1,1,0,4.0,2.0,H
2020-09-19,Villarreal,Eibar,40,27,31,1,1,1,0,2.0,1.0,H
2020-09-19,Getafe,Osasuna,46,25,28,2,1,1,0,1.0,0.0,H
2020-09-19,Celta,Valencia,38,26,34,1,1,1,1,2.0,1.0,H
2020-09-20,Huesca,Cadiz,47,27,24,1,1,1,0,0.0,2.0,A
2020-09-20,Betis,Valladolid,47,26,26,1,1,1,0,2.0,0.0,H
2020-09-20,Granada,Alaves,56,24,19,2,1,1,0,2.0,1.0,H
2020-09-20,Sociedad,Real Madrid,32,26,40,1,1,0,1,0.0,0.0,D
2020-09-26,Alaves,Getafe,37,29,32,1,1,1,0,0.0,0.0,D
2020-09-26,Valencia,Huesca,55,23,20,2,1,1,0,1.0,1.0,D
2020-09-26,Elche,Sociedad,54,24,20,2,1,1,0,0.0,3.0,A
2020-09-26,Betis,Real Madrid,56,24,19,2,1,1,0,2.0,3.0,A
2020-09-27,Osasuna,Levante,50,25,23,2,1,1,0,1.0,3.0,A
2020-09-27,Eibar,Ath Bilbao,47,27,24,1,1,1,0,1.0,2.0,A
2020-09-27,Ath Madrid,Granada,46,25,27,2,1,1,0,6.0,1.0,H
2020-09-27,Cadiz,Sevilla,33,26,40,1,1,0,1,1.0,3.0,A
2020-09-27,Valladolid,Celta,34,29,36,1,1,0,1,1.0,1.0,D
2020-09-27,Barcelona,Villarreal,50,25,24,2,1,1,0,4.0,0.0,H
2020-09-29,Sociedad,Valencia,47,23,28,2,1,1,1,0.0,1.0,A
2020-09-29,Getafe,Betis,38,27,34,1,1,1,1,3.0,0.0,H
2020-09-30,Huesca,Ath Madrid,31,28,40,1,1,1,0,0.0,0.0,D
2020-09-30,Villarreal,Alaves,54,25,19,2,1,1,0,3.0,1.0,H
2020-09-30,Eibar,Elche,48,28,23,1,1,1,0,0.0,1.0,A
2020-09-30,Real Madrid,Valladolid,55,25,19,2,1,1,0,1.0,0.0,H
2020-10-01,Ath Bilbao,Cadiz,46,27,26,1,1,1,0,0.0,1.0,A
2020-10-01,Sevilla,Levante,43,27,28,1,1,1,1,1.0,0.0,H
2020-10-01,Celta,Barcelona,49,26,24,2,1,1,0,0.0,3.0,A
2020-10-03,Valladolid,Eibar,45,29,25,1,1,1,0,1.0,2.0,A
2020-10-03,Ath Madrid,Villarreal,46,24,29,2,1,1,1,0.0,0.0,D
2020-10-03,Elche,Huesca,42,30,27,1,1,1,0,0.0,0.0,D
2020-10-03,Sociedad,Getafe,38,27,33,1,1,0,1,3.0,0.0,H
2020-10-03,Valencia,Betis,57,22,20,2,1,1,0,0.0,2.0,A
2020-10-04,Osasuna,Celta,43,28,27,1,1,1,1,2.0,0.0,H
2020-10-04,Alaves,Ath Bilbao,41,30,28,1,1,1,0,1.0,0.0,H
2020-10-04,Levante,Real Madrid,37,28,33,1,1,1,1,0.0,2.0,A
2020-10-04,Cadiz,Granada,47,26,26,1,1,1,0,1.0,1.0,D
2020-10-04,Barcelona,Sevilla,53,23,22,2,1,1,0,1.0,1.0,D
2020-10-17,Granada,Sevilla,48,25,26,2,1,1,0,1.0,0.0,H
2020-10-17,Celta,Ath Madrid,35,28,35,1,1,1,0,0.0,2.0,A
2020-10-17,Real Madrid,Cadiz,56,22,20,2,1,1,0,0.0,1.0,A
2020-10-17,Getafe,Barcelona,39,26,34,1,1,1,1,1.0,0.0,H
2020-10-18,Eibar,Osasuna,43,28,28,1,1,1,1,0.0,0.0,D
2020-10-18,Ath Bilbao,Levante,44,29,26,1,1,1,0,2.0,0.0,H
2020-10-18,Villarreal,Valencia,48,25,26,2,1,1,0,2.0,1.0,H
2020-10-18,Alaves,Elche,49,28,21,1,1,1,0,0.0,2.0,A
2020-10-18,Huesca,Valladolid,48,28,22,1,1,1,0,2.0,2.0,D
2020-10-18,Betis,Sociedad,45,24,30,2,1,1,0,0.0,3.0,A
2020-10-23,Elche,Valencia,45,27,27,1,1,1,0,2.0,1.0,H
