Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Local primera parte,Goles Visitante,Goles Visitante primera parte
1995-96,1995-09-02,La Coruna,0,0,0,-1,0,0,Valencia,0,0,0,-1,0,0,H,3.0,2.0,0.0,0.0
1995-96,1995-09-02,Sp Gijon,0,0,0,-1,0,0,Albacete,0,0,0,-1,0,0,H,3.0,3.0,0.0,0.0
1995-96,1995-09-03,Ath Bilbao,0,0,0,-1,0,0,Santander,0,0,0,-1,0,0,H,4.0,2.0,0.0,0.0
1995-96,1995-09-03,Ath Madrid,0,0,0,-1,0,0,Sociedad,0,0,0,-1,0,0,H,4.0,1.0,1.0,1.0
1995-96,1995-09-03,Celta,0,0,0,-1,0,0,Compostela,0,0,0,-1,0,0,A,0.0,0.0,1.0,0.0
1995-96,1995-09-03,Espanol,0,0,0,-1,0,0,Salamanca,0,0,0,-1,0,0,H,3.0,2.0,1.0,1.0
1995-96,1995-09-03,Merida,0,0,0,-1,0,0,Betis,0,0,0,-1,0,0,D,1.0,1.0,1.0,1.0
1995-96,1995-09-03,Sevilla,0,0,0,-1,0,0,Tenerife,0,0,0,-1,0,0,A,0.0,0.0,1.0,0.0
1995-96,1995-09-03,Valladolid,0,0,0,-1,0,0,Barcelona,0,0,0,-1,0,0,A,0.0,0.0,2.0,0.0
1995-96,1995-09-03,Vallecano,0,0,0,-1,0,0,Real Madrid,0,0,0,-1,0,0,A,1.0,0.0,5.0,1.0
1995-96,1995-09-03,Zaragoza,0,0,0,-1,0,0,Oviedo,0,0,0,-1,0,0,H,1.0,1.0,0.0,0.0
1995-96,1995-09-09,Albacete,0,3,0,14,0.0,3.0,Sevilla,0,1,0,19,0.0,0.0,H,3.0,2.0,2.0,1.0
1995-96,1995-09-09,Barcelona,2,0,3,8,0.0,0.0,Merida,1,1,1,11,1.0,1.0,D,2.0,1.0,2.0,1.0
1995-96,1995-09-09,Betis,1,1,1,12,1.0,1.0,Zaragoza,1,0,3,10,1.0,0.0,H,3.0,2.0,1.0,0.0
1995-96,1995-09-09,Real Madrid,5,1,3,9,1.0,0.0,Ath Bilbao,4,0,3,3,2.0,0.0,A,1.0,0.0,2.0,0.0
1995-96,1995-09-10,Compostela,1,0,3,8,0.0,0.0,La Coruna,3,0,3,4,2.0,0.0,H,4.0,2.0,0.0,0.0
1995-96,1995-09-10,Oviedo,0,1,0,22,0.0,1.0,Vallecano,1,5,0,21,0.0,1.0,H,2.0,1.0,0.0,0.0
1995-96,1995-09-10,Salamanca,1,3,0,18,1.0,2.0,Celta,0,1,0,17,0.0,0.0,A,0.0,0.0,1.0,0.0
1995-96,1995-09-10,Santander,0,4,0,15,0.0,2.0,Ath Madrid,4,1,3,7,1.0,1.0,A,0.0,0.0,4.0,0.0
1995-96,1995-09-10,Sociedad,1,4,0,16,1.0,1.0,Sp Gijon,3,0,3,5,3.0,0.0,H,2.0,1.0,0.0,0.0
1995-96,1995-09-10,Tenerife,1,0,3,10,0.0,0.0,Espanol,3,1,3,9,2.0,1.0,A,1.0,0.0,4.0,2.0
1995-96,1995-09-10,Valencia,0,3,0,14,0.0,2.0,Valladolid,0,2,0,20,0.0,0.0,H,1.0,0.0,0.0,0.0
1995-96,1995-09-16,Ath Bilbao,6,1,6,1,2.0,0.0,Ath Madrid,8,1,6,2,1.0,1.0,A,0.0,0.0,2.0,1.0
1995-96,1995-09-17,Celta,1,1,3,12,0.0,0.0,Tenerife,2,4,3,13,0.0,2.0,D,2.0,2.0,2.0,2.0
1995-96,1995-09-17,Espanol,7,2,6,4,4.0,1.0,Albacete,3,5,3,10,2.0,4.0,H,1.0,0.0,0.0,0.0
1995-96,1995-09-17,La Coruna,3,4,3,7,2.0,2.0,Salamanca,1,4,0,19,1.0,2.0,H,2.0,1.0,0.0,0.0
1995-96,1995-09-17,Merida,3,3,2,17,2.0,2.0,Valencia,1,3,3,8,0.0,2.0,A,0.0,0.0,2.0,0.0
1995-96,1995-09-17,Real Madrid,6,3,3,14,1.0,0.0,Oviedo,2,1,3,16,1.0,1.0,A,2.0,2.0,3.0,2.0
1995-96,1995-09-17,Sevilla,2,4,0,20,1.0,2.0,Sociedad,3,4,3,11,2.0,1.0,H,2.0,1.0,1.0,1.0
1995-96,1995-09-17,Sp Gijon,3,2,3,9,3.0,1.0,Santander,0,8,0,18,0.0,2.0,H,4.0,2.0,2.0,1.0
1995-96,1995-09-17,Valladolid,0,3,0,21,0.0,0.0,Compostela,5,0,6,3,2.0,0.0,D,0.0,0.0,0.0,0.0
1995-96,1995-09-17,Vallecano,1,7,0,22,0.0,2.0,Betis,4,2,4,5,3.0,1.0,A,1.0,1.0,2.0,1.0
1995-96,1995-09-17,Zaragoza,2,3,3,15,1.0,2.0,Barcelona,4,2,4,6,1.0,1.0,A,0.0,0.0,3.0,0.0
1995-96,1995-09-23,Barcelona,7,2,7,5,1.0,1.0,Vallecano,2,9,0,22,1.0,3.0,H,2.0,1.0,0.0,0.0
1995-96,1995-09-23,Betis,6,3,7,4,4.0,2.0,Real Madrid,8,6,3,16,3.0,2.0,D,0.0,0.0,0.0,0.0
1995-96,1995-09-23,Santander,2,12,0,20,1.0,4.0,Sevilla,4,5,3,15,2.0,3.0,D,1.0,1.0,1.0,1.0
1995-96,1995-09-24,Albacete,3,6,3,15,2.0,4.0,Celta,3,3,4,11,2.0,2.0,H,4.0,0.0,0.0,0.0
1995-96,1995-09-24,Ath Madrid,10,1,9,2,2.0,1.0,Sp Gijon,7,4,6,8,5.0,2.0,H,2.0,1.0,0.0,0.0
1995-96,1995-09-24,Compostela,5,0,7,5,2.0,0.0,Merida,3,5,2,18,2.0,2.0,H,1.0,1.0,0.0,0.0
1995-96,1995-09-24,Oviedo,5,3,6,10,3.0,3.0,Ath Bilbao,6,3,6,9,2.0,1.0,D,0.0,0.0,0.0,0.0
1995-96,1995-09-24,Salamanca,1,6,0,21,1.0,3.0,Valladolid,0,3,1,20,0.0,0.0,D,0.0,0.0,0.0,0.0
1995-96,1995-09-24,Sociedad,4,6,3,16,3.0,2.0,Espanol,8,2,9,3,4.0,1.0,A,0.0,0.0,1.0,1.0
1995-96,1995-09-24,Tenerife,4,6,4,13,2.0,4.0,La Coruna,5,4,6,6,3.0,2.0,D,1.0,0.0,1.0,0.0
1995-96,1995-09-24,Valencia,3,3,6,7,0.0,2.0,Zaragoza,2,6,3,17,1.0,2.0,D,0.0,0.0,0.0,0.0
1995-96,1995-09-30,Ath Bilbao,6,3,7,8,2.0,1.0,Sp Gijon,7,6,6,10,5.0,3.0,H,2.0,1.0,1.0,0.0
1995-96,1995-09-30,Real Madrid,8,6,4,15,3.0,2.0,Barcelona,9,2,10,4,2.0,1.0,D,1.0,1.0,1.0,1.0
1995-96,1995-10-01,Celta,3,7,4,14,2.0,2.0,Sociedad,4,7,3,17,3.0,3.0,D,1.0,1.0,1.0,1.0
1995-96,1995-10-01,Espanol,9,2,12,2,5.0,1.0,Santander,3,13,1,20,2.0,5.0,H,1.0,0.0,0.0,0.0
1995-96,1995-10-01,La Coruna,6,5,7,7,3.0,2.0,Albacete,7,6,6,11,2.0,4.0,H,5.0,1.0,0.0,0.0
1995-96,1995-10-01,Merida,3,6,2,18,2.0,3.0,Salamanca,1,6,1,21,1.0,3.0,D,0.0,0.0,0.0,0.0
1995-96,1995-10-01,Oviedo,5,3,7,9,3.0,3.0,Betis,6,3,8,6,4.0,2.0,A,0.0,0.0,1.0,1.0
1995-96,1995-10-01,Sevilla,5,6,4,15,3.0,4.0,Ath Madrid,12,1,12,1,3.0,1.0,D,0.0,0.0,0.0,0.0
1995-96,1995-10-01,Valladolid,0,3,2,19,0.0,0.0,Tenerife,5,7,5,12,2.0,4.0,H,3.0,2.0,0.0,0.0
1995-96,1995-10-01,Vallecano,2,11,0,22,1.0,4.0,Valencia,3,3,7,8,0.0,2.0,H,3.0,0.0,2.0,0.0
1995-96,1995-10-01,Zaragoza,2,6,4,16,1.0,2.0,Compostela,6,0,10,5,3.0,0.0,H,1.0,1.0,0.0,0.0
1995-96,1995-10-04,Albacete,7,11,6,12,2.0,5.0,Valladolid,3,3,5,16,2.0,0.0,H,4.0,2.0,2.0,1.0
1995-96,1995-10-04,Barcelona,10,3,11,4,3.0,2.0,Oviedo,5,4,7,10,3.0,4.0,H,4.0,3.0,1.0,0.0
1995-96,1995-10-04,Betis,7,3,11,3,5.0,2.0,Ath Bilbao,8,4,10,6,3.0,1.0,D,0.0,0.0,0.0,0.0
1995-96,1995-10-04,Compostela,6,1,10,7,3.0,1.0,Vallecano,5,13,3,20,1.0,4.0,H,1.0,1.0,0.0,0.0
1995-96,1995-10-04,Salamanca,1,6,2,21,1.0,3.0,Zaragoza,3,6,7,9,2.0,2.0,A,0.0,0.0,1.0,1.0
1995-96,1995-10-04,Santander,3,14,1,22,2.0,5.0,Celta,4,8,5,13,3.0,3.0,H,2.0,1.0,1.0,1.0
1995-96,1995-10-04,Sociedad,5,8,4,18,4.0,4.0,La Coruna,11,5,10,5,4.0,2.0,H,2.0,1.0,1.0,1.0
1995-96,1995-10-04,Sp Gijon,8,8,6,11,5.0,4.0,Sevilla,5,6,5,14,3.0,4.0,H,3.0,1.0,1.0,1.0
1995-96,1995-10-04,Tenerife,5,10,5,15,2.0,6.0,Merida,3,6,3,19,2.0,3.0,H,1.0,1.0,0.0,0.0
1995-96,1995-10-04,Valencia,5,6,7,8,0.0,2.0,Real Madrid,9,7,5,17,4.0,3.0,H,4.0,3.0,3.0,0.0
1995-96,1995-10-05,Ath Madrid,12,1,13,3,3.0,1.0,Espanol,10,2,15,1,5.0,1.0,H,2.0,1.0,1.0,1.0
