Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Visitante,Goles Local primera parte,Goles Visitante primera parte
2020-21,12/9/2020,Eibar,4,3,3,17,1.0,1.0,Celta,8,12,6,9,6.0,5.0,D,0.0,0.0,0.0,0.0
2020-21,12/9/2020,Granada,6,4,7,8,3.0,3.0,Ath Bilbao,3,6,2,18,1.0,2.0,H,2.0,0.0,0.0,0.0
2020-21,12/9/2020,Cadiz,7,4,9,6,1.0,2.0,Osasuna,7,10,6,11,3.0,3.0,A,0.0,2.0,0.0,1.0
2020-21,13/09/2020,Alaves,4,7,5,17,2.0,2.0,Betis,7,3,11,4,3.0,1.0,A,0.0,1.0,0.0,0.0
2020-21,13/09/2020,Valladolid,5,7,5,16,3.0,3.0,Sociedad,8,7,5,14,4.0,2.0,D,1.0,1.0,1.0,0.0
2020-21,13/09/2020,Villarreal,3,2,3,18,0.0,0.0,Huesca,3,3,9,9,0.0,0.0,D,1.0,1.0,0.0,1.0
2020-21,13/09/2020,Valencia,5,6,5,13,1.0,3.0,Levante,8,5,11,5,3.0,3.0,H,4.0,2.0,2.0,2.0
2020-21,19/09/2020,Villarreal,15,5,12,7,6.0,3.0,Eibar,3,13,2,18,1.0,8.0,H,2.0,1.0,0.0,0.0
2020-21,19/09/2020,Getafe,3,3,7,15,1.0,2.0,Osasuna,4,2,8,6,1.0,0.0,H,1.0,0.0,0.0,0.0
2020-21,19/09/2020,Celta,6,3,8,10,5.0,2.0,Valencia,11,9,7,12,7.0,8.0,H,2.0,1.0,1.0,0.0
2020-21,20/09/2020,Huesca,4,5,5,15,1.0,1.0,Cadiz,5,5,8,10,5.0,2.0,A,0.0,2.0,0.0,1.0
2020-21,20/09/2020,Betis,7,3,11,1,2.0,1.0,Valladolid,3,5,5,16,2.0,2.0,H,2.0,0.0,2.0,0.0
2020-21,20/09/2020,Granada,6,7,7,6,2.0,4.0,Alaves,6,7,6,18,3.0,4.0,H,2.0,1.0,1.0,1.0
2020-21,20/09/2020,Sociedad,10,7,6,14,8.0,5.0,Real Madrid,6,2,10,2,3.0,2.0,D,0.0,0.0,0.0,0.0
2020-21,26/09/2020,Alaves,6,7,7,17,2.0,4.0,Getafe,4,7,5,10,3.0,3.0,D,0.0,0.0,0.0,0.0
2020-21,26/09/2020,Valencia,5,9,2,14,1.0,5.0,Huesca,2,7,3,18,1.0,2.0,D,1.0,1.0,1.0,0.0
2020-21,26/09/2020,Elche,5,8,7,16,3.0,2.0,Sociedad,8,5,10,7,2.0,0.0,A,0.0,3.0,0.0,0.0
2020-21,26/09/2020,Betis,3,8,5,4,0.0,2.0,Real Madrid,11,3,13,1,4.0,2.0,A,2.0,3.0,2.0,1.0
2020-21,27/09/2020,Osasuna,8,5,10,9,3.0,1.0,Levante,5,6,4,15,1.0,2.0,A,1.0,3.0,1.0,1.0
2020-21,27/09/2020,Eibar,4,5,5,20,2.0,4.0,Ath Bilbao,12,4,10,12,4.0,2.0,A,1.0,2.0,0.0,1.0
2020-21,27/09/2020,Ath Madrid,10,4,12,2,1.0,3.0,Granada,3,7,4,8,1.0,3.0,H,6.0,1.0,1.0,0.0
2020-21,27/09/2020,Cadiz,1,6,2,13,0.0,3.0,Sevilla,6,4,9,3,3.0,2.0,A,1.0,3.0,0.0,0.0
2020-21,27/09/2020,Valladolid,5,9,4,19,3.0,2.0,Celta,7,7,6,11,4.0,1.0,D,1.0,1.0,0.0,1.0
2020-21,27/09/2020,Barcelona,10,4,12,5,5.0,2.0,Villarreal,3,5,3,6,2.0,3.0,H,4.0,0.0,4.0,0.0
