Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Visitante,Goles Local primera parte,Goles Visitante primera parte
1995-96,2/9/1995,La Coruna,0,0,0,-1,0,0,Valencia,0,0,0,-1,0,0,H,3.0,0.0,2.0,0.0
1995-96,2/9/1995,Sp Gijon,0,0,0,-1,0,0,Albacete,0,0,0,-1,0,0,H,3.0,0.0,3.0,0.0
1995-96,3/9/1995,Ath Bilbao,0,0,0,-1,0,0,Santander,0,0,0,-1,0,0,H,4.0,0.0,2.0,0.0
1995-96,3/9/1995,Ath Madrid,0,0,0,-1,0,0,Sociedad,0,0,0,-1,0,0,H,4.0,1.0,1.0,1.0
1995-96,3/9/1995,Celta,0,0,0,-1,0,0,Compostela,0,0,0,-1,0,0,A,0.0,1.0,0.0,0.0
1995-96,3/9/1995,Espanol,0,0,0,-1,0,0,Salamanca,0,0,0,-1,0,0,H,3.0,1.0,2.0,1.0
1995-96,3/9/1995,Merida,0,0,0,-1,0,0,Betis,0,0,0,-1,0,0,D,1.0,1.0,1.0,1.0
1995-96,3/9/1995,Sevilla,0,0,0,-1,0,0,Tenerife,0,0,0,-1,0,0,A,0.0,1.0,0.0,0.0
1995-96,3/9/1995,Valladolid,0,0,0,-1,0,0,Barcelona,0,0,0,-1,0,0,A,0.0,2.0,0.0,0.0
1995-96,3/9/1995,Vallecano,0,0,0,-1,0,0,Real Madrid,0,0,0,-1,0,0,A,1.0,5.0,0.0,1.0
1995-96,3/9/1995,Zaragoza,0,0,0,-1,0,0,Oviedo,0,0,0,-1,0,0,H,1.0,0.0,1.0,0.0
1995-96,9/9/1995,Albacete,8,10,3,21,2.0,3.0,Sevilla,5,6,4,12,3.0,2.0,H,3.0,2.0,2.0,1.0
1995-96,9/9/1995,Barcelona,8,9,6,3,3.0,4.0,Merida,7,6,8,20,4.0,3.0,D,2.0,2.0,1.0,1.0
1995-96,9/9/1995,Betis,8,13,3,10,4.0,5.0,Zaragoza,5,6,5,13,3.0,2.0,H,3.0,1.0,2.0,0.0
1995-96,9/9/1995,Real Madrid,9,6,10,6,6.0,5.0,Ath Bilbao,9,4,9,18,4.0,0.0,A,1.0,2.0,0.0,0.0
1995-96,10/9/1995,Compostela,2,3,3,14,1.0,1.0,La Coruna,8,4,4,10,2.0,3.0,H,4.0,0.0,2.0,0.0
1995-96,10/9/1995,Oviedo,2,2,4,11,1.0,1.0,Vallecano,5,8,6,6,1.0,4.0,H,2.0,0.0,1.0,0.0
1995-96,10/9/1995,Salamanca,3,4,2,17,1.0,1.0,Celta,3,1,5,8,2.0,1.0,A,0.0,1.0,0.0,0.0
1995-96,10/9/1995,Santander,2,1,3,12,0.0,0.0,Ath Madrid,0,3,1,19,0.0,0.0,A,0.0,4.0,0.0,0.0
1995-96,10/9/1995,Sociedad,4,3,4,9,2.0,3.0,Sp Gijon,3,4,1,20,2.0,0.0,H,2.0,0.0,1.0,0.0
1995-96,10/9/1995,Tenerife,6,5,6,5,3.0,3.0,Espanol,7,1,9,1,2.0,0.0,A,1.0,4.0,0.0,2.0
1995-96,10/9/1995,Valencia,5,3,3,13,2.0,0.0,Valladolid,6,1,7,3,3.0,1.0,H,1.0,0.0,0.0,0.0
1995-96,16/09/1995,Ath Bilbao,5,10,2,22,2.0,1.0,Ath Madrid,5,3,9,9,3.0,1.0,A,0.0,2.0,0.0,1.0
1995-96,17/09/1995,Celta,7,7,7,8,5.0,1.0,Tenerife,14,4,13,1,4.0,1.0,D,2.0,2.0,2.0,2.0
1995-96,17/09/1995,Espanol,11,9,7,2,4.0,6.0,Albacete,4,13,4,20,2.0,4.0,H,1.0,0.0,0.0,0.0
1995-96,17/09/1995,La Coruna,6,9,7,14,3.0,3.0,Salamanca,5,12,4,17,3.0,5.0,H,2.0,0.0,1.0,0.0
1995-96,17/09/1995,Merida,3,5,4,21,1.0,0.0,Valencia,7,6,8,7,2.0,5.0,A,0.0,2.0,0.0,0.0
1995-96,17/09/1995,Real Madrid,7,2,11,13,2.0,1.0,Oviedo,7,7,7,10,3.0,3.0,A,2.0,3.0,2.0,2.0
1995-96,17/09/1995,Sevilla,4,12,1,19,1.0,6.0,Sociedad,16,8,9,4,8.0,3.0,H,2.0,1.0,1.0,1.0
1995-96,17/09/1995,Sp Gijon,1,6,3,18,0.0,3.0,Santander,5,6,5,15,3.0,3.0,H,4.0,2.0,2.0,1.0
1995-96,17/09/1995,Valladolid,2,7,5,16,0.0,0.0,Compostela,8,7,6,6,4.0,5.0,D,0.0,0.0,0.0,0.0
1995-96,17/09/1995,Vallecano,9,8,8,11,2.0,2.0,Betis,10,3,9,3,3.0,2.0,A,1.0,2.0,1.0,1.0
1995-96,17/09/1995,Zaragoza,6,6,6,12,3.0,4.0,Barcelona,8,3,11,9,3.0,1.0,A,0.0,3.0,0.0,0.0
1995-96,23/09/1995,Barcelona,3,4,7,3,1.0,2.0,Vallecano,7,5,10,11,3.0,4.0,H,2.0,0.0,1.0,0.0
1995-96,23/09/1995,Betis,10,8,7,1,3.0,5.0,Real Madrid,9,7,6,8,4.0,4.0,D,0.0,0.0,0.0,0.0
1995-96,23/09/1995,Santander,6,10,4,20,4.0,7.0,Sevilla,7,10,9,13,1.0,4.0,D,1.0,1.0,1.0,1.0
1995-96,24/09/1995,Albacete,6,9,4,20,3.0,4.0,Celta,13,4,13,8,10.0,4.0,H,4.0,0.0,0.0,0.0
1995-96,24/09/1995,Ath Madrid,7,2,10,5,3.0,2.0,Sp Gijon,12,6,10,15,6.0,5.0,H,2.0,0.0,1.0,0.0
1995-96,24/09/1995,Compostela,3,12,4,13,2.0,6.0,Merida,7,5,10,18,5.0,2.0,H,1.0,0.0,1.0,0.0
1995-96,24/09/1995,Oviedo,8,7,8,14,4.0,1.0,Ath Bilbao,4,9,5,22,2.0,5.0,D,0.0,0.0,0.0,0.0
1995-96,24/09/1995,Salamanca,8,13,2,21,4.0,8.0,Valladolid,3,9,1,16,0.0,4.0,D,0.0,0.0,0.0,0.0
1995-96,24/09/1995,Sociedad,5,5,8,10,4.0,2.0,Espanol,6,4,9,2,0.0,2.0,A,0.0,1.0,0.0,1.0
1995-96,24/09/1995,Tenerife,6,10,3,11,4.0,2.0,La Coruna,7,2,10,7,5.0,1.0,D,1.0,1.0,0.0,0.0
1995-96,24/09/1995,Valencia,14,5,12,4,8.0,1.0,Zaragoza,6,9,2,19,3.0,6.0,D,0.0,0.0,0.0,0.0
1995-96,30/09/1995,Ath Bilbao,8,5,9,21,3.0,3.0,Sp Gijon,5,6,4,17,1.0,4.0,H,2.0,1.0,1.0,0.0
1995-96,30/09/1995,Real Madrid,13,5,11,9,7.0,3.0,Barcelona,11,5,10,3,7.0,2.0,D,1.0,1.0,1.0,1.0
1995-96,1/10/1995,Celta,0,0,0,-1,0,0,Sociedad,0,0,0,-1,0,0,D,1.0,1.0,1.0,1.0
1995-96,1/10/1995,Espanol,0,0,0,-1,0,0,Santander,0,0,0,-1,0,0,H,1.0,0.0,0.0,0.0
1995-96,1/10/1995,La Coruna,0,0,0,-1,0,0,Albacete,0,0,0,-1,0,0,H,5.0,0.0,1.0,0.0
1995-96,1/10/1995,Merida,0,0,0,-1,0,0,Salamanca,0,0,0,-1,0,0,D,0.0,0.0,0.0,0.0
1995-96,1/10/1995,Oviedo,0,0,0,-1,0,0,Betis,0,0,0,-1,0,0,A,0.0,1.0,0.0,1.0
1995-96,1/10/1995,Sevilla,0,0,0,-1,0,0,Ath Madrid,0,0,0,-1,0,0,D,0.0,0.0,0.0,0.0
1995-96,1/10/1995,Valladolid,0,0,0,-1,0,0,Tenerife,0,0,0,-1,0,0,H,3.0,0.0,2.0,0.0
